Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GRO,Haas F1 Team,16.0,95.081,2.0,MEDIUM,1.0,14.0,2019,Australian Grand Prix,58,0.27586206896551724,,,,,,,,,,,
KUB,Williams,2.0,99.74,2.0,MEDIUM,1.0,19.0,2019,Australian Grand Prix,58,0.034482758620689655,,,,,,,,,,,
KUB,Williams,29.0,96.902,3.0,SOFT,1.0,19.0,2019,Australian Grand Prix,58,0.5,,,,,,,,,,,
KUB,Williams,45.0,101.937,4.0,SOFT,3.0,17.0,2019,Australian Grand Prix,58,0.7758620689655172,,,,,,,,,,,
GIO,Alfa Romeo Racing,28.0,94.894,2.0,SOFT,1.0,17.0,2019,Australian Grand Prix,58,0.4827586206896552,,,,,,,,,,,
GAS,Red Bull Racing,10.0,119.647,2.0,SOFT,1.0,17.0,2019,Bahrain Grand Prix,57,0.17543859649122806,,,,,,,,,,,
GAS,Red Bull Racing,40.0,117.32,3.0,MEDIUM,1.0,11.0,2019,Bahrain Grand Prix,57,0.7017543859649122,,,,,,,,,,,
PER,Racing Point,9.0,118.412,2.0,MEDIUM,1.0,17.0,2019,Bahrain Grand Prix,57,0.15789473684210525,,,,,,,,,,,
PER,Racing Point,34.0,120.338,3.0,MEDIUM,1.0,15.0,2019,Bahrain Grand Prix,57,0.5964912280701754,,,,,,,,,,,
LEC,Ferrari,14.0,116.203,2.0,MEDIUM,1.0,3.0,2019,Bahrain Grand Prix,57,0.24561403508771928,,,,,,,,,,,
LEC,Ferrari,37.0,115.016,3.0,MEDIUM,1.0,1.0,2019,Bahrain Grand Prix,57,0.6491228070175439,,,,,,,,,,,
STR,Racing Point,2.0,127.111,2.0,MEDIUM,1.0,19.0,2019,Bahrain Grand Prix,57,0.03508771929824561,,,,,,,,,,,
STR,Racing Point,24.0,121.811,3.0,MEDIUM,1.0,19.0,2019,Bahrain Grand Prix,57,0.42105263157894735,,,,,,,,,,,
MAG,Haas F1 Team,11.0,116.838,2.0,MEDIUM,1.0,15.0,2019,Bahrain Grand Prix,57,0.19298245614035087,,,,,,,,,,,
MAG,Haas F1 Team,39.0,119.086,3.0,SOFT,4.0,14.0,2019,Bahrain Grand Prix,57,0.6842105263157895,,,,,,,,,,,
ALB,Toro Rosso,10.0,118.22,2.0,SOFT,1.0,16.0,2019,Bahrain Grand Prix,57,0.17543859649122806,,,,,,,,,,,
ALB,Toro Rosso,26.0,119.635,3.0,MEDIUM,1.0,15.0,2019,Bahrain Grand Prix,57,0.45614035087719296,,,,,,,,,,,
